item,item_create,item_los,date
板チョコバタークロワッサン,7,0,2024/01/10
ソーセージクロワッサン,6,0,2024/01/10
明太マヨコロッケクロワッサン,0,0,2024/01/10
ささみカツバーガー,4,0,2024/01/10
アラビアータバーガー,2,0,2024/01/10
照り焼きチキンバーガ,4,0,2024/01/10
明太マヨコロッケバー,0,0,2024/01/10
シーザーサラダバーガ,4,0,2024/01/10
リュスティック,0,0,2024/01/10
悪魔のカレーパン,9,0,2024/01/10
とうもろこしクロックムッシュ,7,0,2024/01/10
明太ペペロンチーノフランス,2,0,2024/01/10
明太チーズオムレツサンド,6,0,2024/01/10
トマトとリコッタのタルティーヌ,4,0,2024/01/10
チョリソーとキャベツのタルティーヌ,1,0,2024/01/10
シラスとキノコのタルティーヌ,4,0,2024/01/10
ハニートースト,12,0,2024/01/10
チョコ　クロワッサンロール,0,0,2024/01/10
ストロベリー　クロワッサンロール,0,0,2024/01/10
きな粉とくるみのあんバター,7,0,2024/01/10
チョコマフィン,3,0,2024/01/10
ストロベリーマフィン,3,0,2024/01/10
フルーツパイ,5,0,2024/01/10
シナモンロール,0,0,2024/01/10
シュガーラスク,1,0,2024/01/10
チョコラスク,1,0,2024/01/10
ストロベリーラスク,0,0,2024/01/10
ホワイトラスク,0,0,2024/01/10
極上プリン カップtak,15,0,2024/01/10
ほうじ茶プリン カッップ,2,0,2024/01/10
極上プリン　ビン　Ta,1,0,2024/01/10
抹茶プリン　take,0,0,2024/01/10
フレンチトーストtake,1,0,2024/01/10
フレンチ【プレーン】,5,0,2024/01/10
フレンチ【ベリー】,1,0,2024/01/10
フレンチ【キャラメル,1,0,2024/01/10
EDWブレックファース,0,0,2024/01/10
バスクチーズtake,6,0,2024/01/10
プレーン 2斤,11,0,2024/01/11
純生 2斤,8,0,2024/01/11
プレーン　1斤,0,0,2024/01/11
アップルシナモン,3,0,2024/01/11
濃厚ショコラ,6,0,2024/01/11
ほうじ茶とホワイトチョコ,6,0,2024/01/11
プレーン1斤,0,0,2024/01/11
純生1斤,0,0,2024/01/11
ホイップバター,3,0,2024/01/11
天使のクロワッサン,15,0,2024/01/11
塩トリュフクロワッサン,8,0,2024/01/11
チョコレートクロワッサン,8,0,2024/01/11
ストロベリークロワッサン,4,0,2024/01/11
ホワイトチョコクロワッサン,4,0,2024/01/11
アーモンドダマンドクロワッサン,3,0,2024/01/11
アールグレイダマンドクロワッサン,5,0,2024/01/11
ほうじ茶ダマンドクロワッサン,0,0,2024/01/11
抹茶つぶあんダマンド,7,0,2024/01/11
板チョコバタークロワッサン,6,0,2024/01/11
ソーセージクロワッサン,7,0,2024/01/11
明太マヨコロッケクロワッサン,0,0,2024/01/11
ささみカツバーガー,4,0,2024/01/11
アラビアータバーガー,4,0,2024/01/11
照り焼きチキンバーガ,3,0,2024/01/11
明太マヨコロッケバー,2,0,2024/01/11
シーザーサラダバーガ,4,0,2024/01/11
リュスティック,0,0,2024/01/11
悪魔のカレーパン,14,0,2024/01/11
とうもろこしクロックムッシュ,8,0,2024/01/11
明太ペペロンチーノフランス,3,0,2024/01/11
明太チーズオムレツサンド,5,0,2024/01/11
トマトとリコッタのタルティーヌ,3,0,2024/01/11
チョリソーとキャベツのタルティーヌ,1,0,2024/01/11
シラスとキノコのタルティーヌ,4,0,2024/01/11
ハニートースト,8,0,2024/01/11
チョコ　クロワッサンロール,5,0,2024/01/11
ストロベリー　クロワッサンロール,5,0,2024/01/11
きな粉とくるみのあんバター,7,0,2024/01/11
チョコマフィン,6,0,2024/01/11
ストロベリーマフィン,5,0,2024/01/11
フルーツパイ,4,0,2024/01/11
シナモンロール,0,0,2024/01/11
シュガーラスク,5,0,2024/01/11
チョコラスク,4,0,2024/01/11
ストロベリーラスク,0,0,2024/01/11
ホワイトラスク,0,0,2024/01/11
極上プリン カップtak,7,0,2024/01/11
ほうじ茶プリン カッップ,5,0,2024/01/11
極上プリン　ビン　Ta,5,0,2024/01/11
抹茶プリン　take,0,0,2024/01/11
フレンチトーストtake,7,0,2024/01/11
フレンチ【プレーン】,0,0,2024/01/11
フレンチ【ベリー】,1,0,2024/01/11
フレンチ【キャラメル,1,0,2024/01/11
EDWブレックファース,1,0,2024/01/11
バスクチーズtake,7,0,2024/01/11
プレーン 2斤,12,0,2024/01/12
純生 2斤,8,0,2024/01/12
プレーン　1斤,5,0,2024/01/12
アップルシナモン,6,0,2024/01/12
濃厚ショコラ,12,0,2024/01/12
ほうじ茶とホワイトチョコ,0,0,2024/01/12
プレーン1斤,5,0,2024/01/12
純生1斤,4,0,2024/01/12
ホイップバター,10,0,2024/01/12
天使のクロワッサン,11,0,2024/01/12
塩トリュフクロワッサン,0,0,2024/01/12
チョコレートクロワッサン,6,0,2024/01/12
ストロベリークロワッサン,4,0,2024/01/12
ホワイトチョコクロワッサン,4,0,2024/01/12
アーモンドダマンドクロワッサン,4,0,2024/01/12
アールグレイダマンドクロワッサン,4,0,2024/01/12
ほうじ茶ダマンドクロワッサン,0,0,2024/01/12
抹茶つぶあんダマンド,8,0,2024/01/12
板チョコバタークロワッサン,4,0,2024/01/12
ソーセージクロワッサン,8,0,2024/01/12
明太マヨコロッケクロワッサン,0,0,2024/01/12
ささみカツバーガー,4,0,2024/01/12
アラビアータバーガー,4,0,2024/01/12
照り焼きチキンバーガ,4,0,2024/01/12
明太マヨコロッケバー,2,0,2024/01/12
シーザーサラダバーガ,4,0,2024/01/12
リュスティック,0,0,2024/01/12
悪魔のカレーパン,16,0,2024/01/12
とうもろこしクロックムッシュ,4,0,2024/01/12
明太ペペロンチーノフランス,3,0,2024/01/12
明太チーズオムレツサンド,8,0,2024/01/12
トマトとリコッタのタルティーヌ,3,0,2024/01/12
チョリソーとキャベツのタルティーヌ,2,0,2024/01/12
シラスとキノコのタルティーヌ,3,0,2024/01/12
ハニートースト,10,0,2024/01/12
チョコ　クロワッサンロール,4,0,2024/01/12
ストロベリー　クロワッサンロール,5,0,2024/01/12
きな粉とくるみのあんバター,5,0,2024/01/12
チョコマフィン,3,0,2024/01/12
ストロベリーマフィン,2,0,2024/01/12
フルーツパイ,2,0,2024/01/12
シナモンロール,0,0,2024/01/12
シュガーラスク,2,0,2024/01/12
チョコラスク,1,0,2024/01/12
ストロベリーラスク,2,0,2024/01/12
ホワイトラスク,0,0,2024/01/12
極上プリン カップtak,12,0,2024/01/12
ほうじ茶プリン カッップ,4,0,2024/01/12
極上プリン　ビン　Ta,2,0,2024/01/12
抹茶プリン　take,0,0,2024/01/12
フレンチトーストtake,8,0,2024/01/12
フレンチ【プレーン】,0,0,2024/01/12
フレンチ【ベリー】,1,0,2024/01/12
フレンチ【キャラメル,1,0,2024/01/12
EDWブレックファース,0,0,2024/01/12
バスクチーズtake,1,0,2024/01/12
プレーン 2斤,24,0,2024/01/13
