item,item_create,item_los,date
フレンチトーストtake,0,0,2023/9/9
バスクチーズtake,7,0,2023/9/9
冷やしパンケーキ,13,0,2023/9/9
冷やしパンケーキ　8,0,0,2023/9/9
プレーン 2斤,21,0,2023/9/10
純生 2斤,18,0,2023/9/10
栗　1斤,25,0,2023/9/10
柚子一斤,0,0,2023/9/10
ホイップバター,11,0,2023/9/10
天使のクロワッサン,22,0,2023/9/10
塩トリュフクロワッサン,15,0,2023/9/10
チョコレートクロワッサン,16,0,2023/9/10
ストロベリークロワッサン,7,0,2023/9/10
ホワイトチョコクロワッサン,3,0,2023/9/10
アーモンドダマンドクロワッサン,10,0,2023/9/10
アールグレイダマンドクロワッサン,5,0,2023/9/10
ほうじ茶ダマンドクロワッサン,3,0,2023/9/10
カボチャサラダクロワッサン,1,0,2023/9/10
板チョコバタークロワッサン,0,0,2023/9/10
ソーセージクロワッサン,8,0,2023/9/10
パストラミクロワッサン,2,0,2023/9/10
生ハムクロワッサン,3,0,2023/9/10
レモンとピスタチオのクロワッサン,1,0,2023/9/10
ささみカツバーガー,0,0,2023/9/10
アラビアータバーガー,6,0,2023/9/10
照り焼きチキンバーガ,5,0,2023/9/10
明太マヨコロッケバー,4,0,2023/9/10
シーザーサラダバーガ,0,0,2023/9/10
ツナチェダーバーガー,0,0,2023/9/10
悪魔のカレーパン,22,0,2023/9/10
とうもろこしクロックムッシュ,10,0,2023/9/10
明太ペペロンチーノフランス,6,0,2023/9/10
明太チーズオムレツサンド,0,0,2023/9/10
トマトとリコッタのタルティーヌ,2,0,2023/9/10
チョリソーとキャベツのタルティーヌ,3,0,2023/9/10
シラスとキノコのタルティーヌ,4,0,2023/9/10
夏野菜とチーズのタルティーヌ,7,0,2023/9/10
あんバタートースト,5,0,2023/9/10
ベリーとクリームチーズのハニートースト,4,0,2023/9/10
カボチャのクリームパン,0,0,2023/9/10
きな粉とくるみのあんバター,0,0,2023/9/10
ボストック,0,0,2023/9/10
チョコマフィン,0,0,2023/9/10
レモンカスタードマフ,5,0,2023/9/10
ストロベリーマフィン,0,0,2023/9/10
シャインマスカットのフルーツパイ,7,0,2023/9/10
シナモンロール,2,0,2023/9/10
レモンアールグレイのクロッフィン,2,0,2023/9/10
シュガーラスク,2,0,2023/9/10
シナモンラスク,0,0,2023/9/10
チョコラスク,2,0,2023/9/10
ストロベリーラスク,0,0,2023/9/10
ホワイトラスク,2,0,2023/9/10
極上プリン カップtak,9,0,2023/9/10
ほうじ茶プリン カッ,7,0,2023/9/10
極上プリン　ビン　Ta,2,0,2023/9/10
フレンチトーストtake,0,0,2023/9/10
バスクチーズtake,8,0,2023/9/10
冷やしパンケーキ,11,0,2023/9/10
冷やしパンケーキ　8,0,0,2023/9/10
プレーン 2斤,18,0,2023/9/11
純生 2斤,11,0,2023/9/11
栗　1斤,21,0,2023/9/11
柚子一斤,0,0,2023/9/11
ホイップバター,6,0,2023/9/11
天使のクロワッサン,22,0,2023/9/11
塩トリュフクロワッサン,11,0,2023/9/11
チョコレートクロワッサン,7,0,2023/9/11
ストロベリークロワッサン,3,0,2023/9/11
ホワイトチョコクロワッサン,2,0,2023/9/11
アーモンドダマンドクロワッサン,7,0,2023/9/11
アールグレイダマンドクロワッサン,3,0,2023/9/11
ほうじ茶ダマンドクロワッサン,2,0,2023/9/11
カボチャサラダクロワッサン,2,0,2023/9/11
板チョコバタークロワッサン,0,0,2023/9/11
ソーセージクロワッサン,7,0,2023/9/11
パストラミクロワッサン,0,0,2023/9/11
生ハムクロワッサン,2,0,2023/9/11
レモンとピスタチオのクロワッサン,2,0,2023/9/11
ささみカツバーガー,4,0,2023/9/11
アラビアータバーガー,2,0,2023/9/11
照り焼きチキンバーガ,2,0,2023/9/11
明太マヨコロッケバー,3,0,2023/9/11
シーザーサラダバーガ,0,0,2023/9/11
ツナチェダーバーガー,0,0,2023/9/11
悪魔のカレーパン,7,0,2023/9/11
とうもろこしクロックムッシュ,8,0,2023/9/11
明太ペペロンチーノフランス,4,0,2023/9/11
明太チーズオムレツサンド,0,0,2023/9/11
トマトとリコッタのタルティーヌ,3,0,2023/9/11
チョリソーとキャベツのタルティーヌ,2,0,2023/9/11
シラスとキノコのタルティーヌ,2,0,2023/9/11
夏野菜とチーズのタルティーヌ,4,0,2023/9/11
あんバタートースト,3,0,2023/9/11
ベリーとクリームチーズのハニートースト,2,0,2023/9/11
カボチャのクリームパン,0,0,2023/9/11
きな粉とくるみのあんバター,0,0,2023/9/11
ボストック,0,0,2023/9/11
チョコマフィン,0,0,2023/9/11
レモンカスタードマフ,3,0,2023/9/11
ストロベリーマフィン,0,0,2023/9/11
シャインマスカットのフルーツパイ,6,0,2023/9/11
シナモンロール,2,0,2023/9/11
レモンアールグレイのクロッフィン,0,0,2023/9/11
シュガーラスク,2,0,2023/9/11
シナモンラスク,0,0,2023/9/11
チョコラスク,2,0,2023/9/11
ストロベリーラスク,0,0,2023/9/11
ホワイトラスク,1,0,2023/9/11
極上プリン カップtak,23,0,2023/9/11
ほうじ茶プリン カッ,2,0,2023/9/11
極上プリン　ビン　Ta,5,0,2023/9/11
フレンチトーストtake,0,0,2023/9/11
バスクチーズtake,2,0,2023/9/11
冷やしパンケーキ,8,0,2023/9/11
冷やしパンケーキ　8,0,0,2023/9/11
プレーン 2斤,10,0,2023/9/12
純生 2斤,19,0,2023/9/12
栗　1斤,24,0,2023/9/12
柚子一斤,0,0,2023/9/12
ホイップバター,7,0,2023/9/12
天使のクロワッサン,8,0,2023/9/12
塩トリュフクロワッサン,6,0,2023/9/12
チョコレートクロワッサン,6,0,2023/9/12
ストロベリークロワッサン,3,0,2023/9/12
ホワイトチョコクロワッサン,2,0,2023/9/12
アーモンドダマンドクロワッサン,6,0,2023/9/12
アールグレイダマンドクロワッサン,2,0,2023/9/12
ほうじ茶ダマンドクロワッサン,0,0,2023/9/12
カボチャサラダクロワッサン,0,0,2023/9/12
板チョコバタークロワッサン,0,0,2023/9/12
ソーセージクロワッサン,4,0,2023/9/12
パストラミクロワッサン,0,0,2023/9/12
生ハムクロワッサン,0,0,2023/9/12
レモンとピスタチオのクロワッサン,0,0,2023/9/12
ささみカツバーガー,3,0,2023/9/12
アラビアータバーガー,4,0,2023/9/12
照り焼きチキンバーガ,1,0,2023/9/12
明太マヨコロッケバー,1,0,2023/9/12
シーザーサラダバーガ,0,0,2023/9/12
ツナチェダーバーガー,0,0,2023/9/12
悪魔のカレーパン,7,0,2023/9/12
とうもろこしクロックムッシュ,7,0,2023/9/12
明太ペペロンチーノフランス,1,0,2023/9/12
明太チーズオムレツサンド,0,0,2023/9/12
トマトとリコッタのタルティーヌ,3,0,2023/9/12
チョリソーとキャベツのタルティーヌ,2,0,2023/9/12
シラスとキノコのタルティーヌ,2,0,2023/9/12
夏野菜とチーズのタルティーヌ,4,0,2023/9/12
あんバタートースト,5,0,2023/9/12
ベリーとクリームチーズのハニートースト,4,0,2023/9/12
カボチャのクリームパン,0,0,2023/9/12
きな粉とくるみのあんバター,0,0,2023/9/12
ボストック,0,0,2023/9/12
チョコマフィン,0,0,2023/9/12
レモンカスタードマフ,4,0,2023/9/12
ストロベリーマフィン,0,0,2023/9/12
シャインマスカットのフルーツパイ,3,0,2023/9/12
シナモンロール,2,0,2023/9/12
レモンアールグレイのクロッフィン,0,0,2023/9/12
シュガーラスク,1,0,2023/9/12
シナモンラスク,0,0,2023/9/12
チョコラスク,0,0,2023/9/12
